,bonds,stocks,cash
1993-05-01,0.0046719843,0.025280516438659806,0.0054186301000001
1993-06-01,0.0151702874,0.015422749316380546,0.00497260270000011
1993-07-01,0.0071179063,-0.03621256284179686,0.00448438359999992
1993-08-01,0.013041516,0.05120702270681199,0.004509863
1993-09-01,0.0055270547,-0.014447636057408286,0.00437260269999995
1993-10-01,0.008324122,0.021814531214280564,0.00428904110000006
1993-11-01,0.0030041482,-0.04307770144871337,0.00489863010000002
1993-12-01,0.0098141729,0.01132973432626816,0.00408520550000002
1994-01-01,0.0041980918,0.0413136094729365,0.00377945210000008
1994-02-01,-0.0097174485,-0.02647421453673915,0.00383561639999996
1994-03-01,-0.0038301836,-0.02557511591767203,0.00619150680000002
1994-04-01,-0.0006551596,0.0025150359230012853,0.00529315070000003
1994-05-01,0.0017945012,-0.03135643988480308,0.00448438359999992
1994-06-01,-0.0024588181,-0.00920200261482218,0.0056630137
1994-07-01,0.009147147,0.007388552799638015,0.00557150679999996
1994-08-01,-0.0006472302,0.03200757417184663,0.0054186301000001
1994-09-01,0.0013329823,-0.023261543257594663,0.00575342469999995
1994-10-01,0.0046631668,0.0015002634834033746,0.00663315069999992
1994-11-01,0.0052097805,-0.058201302315128434,0.00710136989999999
1994-12-01,0.0040651778,-0.004834550369398394,0.00751643839999994
1995-01-01,0.0153225807,-0.014101544228922736,0.00750794519999998
1995-02-01,0.0141411605,0.02501522832003289,0.00714191780000006
1995-03-01,0.0128359646,0.01568933441426812,0.0077372603000001
1995-04-01,0.0136036132,0.007559739000065457,0.0073972603000001
1995-05-01,0.0239848268,0.021406219160580164,0.00772876709999992
1995-06-01,0.0054061926,-0.004743601427517952,0.0073972603000001
1995-07-01,0.0106060294,0.04055767031574731,0.00758438360000002
1995-08-01,0.0106484338,0.007404291002175878,0.00820438360000009
1995-09-01,0.0117011077,0.021709715891367276,0.0076191780999999
1995-10-01,0.0119997954,-0.013463361766700155,0.00701534249999991
1995-11-01,0.0146931072,0.04302795686611005,0.00718767120000008
1995-12-01,0.0098169369,0.021496312203323598,0.00758013699999993
1996-01-01,0.0117987947,-0.010836421297960808,0.00753342470000007
1996-02-01,-0.0020553632,0.0062706432232462195,0.00686465749999998
1996-03-01,0.0058138795,0.0028238648396998745,0.00761835620000006
1996-04-01,0.0081117979,0.01240438386857301,0.00789041099999999
1996-05-01,0.0083095567,0.01670765007417163,0.00834027400000004
1996-06-01,0.0105001067,-0.0014383539461882977,0.0082972603
1996-07-01,0.0085997684,-0.043484922054380704,0.00852287670000007
1996-08-01,0.0118743196,0.007182835663949838,0.0084931506999999
1996-09-01,0.0155769362,0.03192342177739427,0.00821917810000006
1996-10-01,0.0161288298,-0.008380269993705669,0.00797082190000009
1996-11-01,0.0140833748,0.04419760783040472,0.00761506850000004
1996-12-01,0.0049773561,-0.01239747544395342,0.00676904110000009
1997-01-01,0.0088665493,0.040423824482817006,0.00633589039999993
1997-02-01,0.0034129443,0.006318654594278161,0.00586465750000009
1997-03-01,0.0006285673,-0.027673567459878146,0.00648027400000006
1997-04-01,0.0100424842,0.04792233508629318,0.0055767122999999
1997-05-01,0.0066481145,0.06261596440117323,0.0060258903999999
1997-06-01,0.0108881306,0.07518951009448038,0.00561369859999994
1997-07-01,0.0112371822,0.09312845894057675,0.0070832877
1997-08-01,0.0038773113,-0.060822847940558256,0.0069134247
1997-09-01,0.0112023726,0.056208247409500256,0.00637397260000006
1997-10-01,0.0075788122,-0.03953718402457762,0.00678178079999991
1997-11-01,0.0061984499,0.03695473192739529,0.00588082189999994
1997-12-01,0.0090667405,0.07182737570464659,0.00752068490000002
1998-01-01,0.0125359146,0.0314559520241553,0.00772876709999992
1998-02-01,0.0063435081,0.06749108689472028,0.0069194521
1998-03-01,0.0074446546,0.09774247878844733,0.00833178080000008
1998-04-01,0.0081416202,0.0006934556582025575,0.00733150679999994
1998-05-01,0.0104597069,0.026311002694337837,0.00711726030000004
1998-06-01,0.0068646256,0.07532743370610873,0.00668630140000004
1998-07-01,0.0082331493,0.011561685823738621,0.00602164380000003
1998-08-01,0.0151369816,-0.08762268659419914,0.00524876710000011
1998-09-01,0.0140983218,0.012436162790697702,0.00413013699999998
1998-10-01,0.0049558969,0.027491255259259217,0.00379643839999999
1998-11-01,0.0026352306,0.0679110901936597,0.00310273970000008
1998-12-01,0.0019318372,0.07169809482532097,0.00395780820000002
1999-01-01,0.0070646811,0.015175841542086399,0.00308726030000006
1999-02-01,-0.003671707,-0.013909804563513428,0.0035326027
1999-03-01,0.0080762214,0.019655476776814007,0.00393657530000002
1999-04-01,0.0060037118,-0.04861045578362966,0.0034244681836515
1999-05-01,-1.9295e-06,0.010948113478336241,0.00353881886532115
1999-06-01,-0.0043199959,0.07023131052693432,0.0034244681836515
1999-07-01,0.0005393554,-0.012015117264768782,0.00353881886532115
1999-08-01,0.0032435486,0.038392186351872803,0.00353881886532115
1999-09-01,0.0047047025,0.0027827083016234155,0.0034244681836515
1999-10-01,0.0010559592,0.08658891228084675,0.00353881886532115
1999-11-01,0.0028738177,0.051059028776650806,0.00360874501925523
1999-12-01,0.0015880528,0.08902930976528456,0.00394643219074453
2000-01-01,0.0005738366,-0.013224867122459072,0.00403167364323886
2000-02-01,0.0056698657,0.055047082458390406,0.00388133845202909
2000-03-01,0.0075563253,0.036320161136444096,0.00437186135095002
2000-04-01,0.0036352426,-0.0469584272757525,0.00448544525827943
2000-05-01,0.0037126582,0.0017831541699282472,0.00495123848569445
2000-06-01,0.0077153698,0.029214729434115627,0.00499185304650251
2000-07-01,0.0058902295,-0.016065024977286235,0.00515867661306646
2000-08-01,0.0048783089,0.09881905852774286,0.00515867661306646
2000-09-01,0.0084470461,-0.04003982822828234,0.00499185304650251
2000-10-01,0.0067406229,-0.01907613049275214,0.00515867661306646
2000-11-01,0.0104036948,-0.107250892610524,0.00499185304650251
2000-12-01,0.0113609492,-0.0907470903652905,0.00515867661306646
2001-01-01,0.0095698309,0.029832108431015802,0.00515867661306646
2001-02-01,0.0075603969,-0.09861723070044959,0.0046582889705975
2001-03-01,0.0091378437,-0.026677463423739445,0.00504204947444675
2001-04-01,5.54171e-05,0.0601693801520109,0.00471952641051465
2001-05-01,0.0073861667,-0.011556243312910608,0.0046522349770286
2001-06-01,0.0059683762,-0.018638858144990667,0.00440728255418565
2001-07-01,0.0095308479,-0.037127918883682054,0.00455452602546269
2001-08-01,0.0083216156,-0.11708425971602499,0.00455452602546269
2001-09-01,0.0124213593,-0.015067260216839573,0.00425075292546184
